salesgroth,gics,application,marketcap,cogsgroth,hd,sgagroth,grossincomegroth,finiancial,category,profitability,subcategory,technology,risk,ports,interest,pretax,netincome,EPS,EPSd,EBITDA,frequency
5.94,global,BOEING CO/THE,1.19E+11,6.48,0,7.89,2.6,strength-low,Medium,metric-c,voip-video,Low,2,"tcp/3784, udp/43784",-1.11,0.81,1.14,4.07,4.1,3.2,0.786919831
-16.69,global,LOCKHEED MARTIN,81365336064,-28.12,0,0.41,86.3,strength-low,Medium,metric-c,voip-video,Low,3,tcp/5001,57.14,59.27,41.99,48.41,48.41,-37.68,0.647124139
-5.97,global,UNITED TECH CORP,96491831296,-31.28,0,21.42,3.27,strength-medium,High,metric-c,voip-video,Medium,2,tcp/5100,0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.663557628
3.27,global,GENERAL DYNAMICS,61142589440,3.4,80,0.18,2.78,strength-medium,High,metric-c,auth-service,Medium,4,"tcp/389, 3268, 3269, 636, udp/389, 3268",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.879413724
-12.58,global,NORTHROP GRUMMAN,45142773760,26.38,16,41.32,-28.69,strength-medium,Medium,metric-c,auth-service,Medium,5,tcp/49,-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,0.668665334
21.75,global,ARCONIC INC,11651044352,25.62,0,21.42,17.53,strength-medium,Low,metric-c,auth-service,Medium,1,tcp/49,104.2,0.41,-14.87,-57.99,-57.62,11.49,0.515101044
56.03,global,TRANSDIGM GROUP,14059956224,-56.03,0,28.59,84.98,strength-medium,Low,metric-c,auth-service,Medium,1,tcp/2009,99.08,99.08,99.5,99.5,91.09,-37.68,0.54763491
5.94,global,RAYTHEON CO,47316987904,6.48,13866,7.89,2.6,strength-medium,Medium,metric-c,database,Medium,3,tcp/3306,-1.11,0.81,1.14,4.07,4.1,3.2,0.539529203
-16.69,global,L3 TECHNOLOGIES,13001621504,-28.12,1153,0.41,86.3,strength-high,High,metric-c,database,High,5,tcp/5432,57.14,59.27,41.99,48.41,48.41,-37.68,0.605818343
-5.97,global,TEXTRON INC,12699180032,-31.28,2184,21.42,3.27,strength-high,Medium,metric-c,database,High,5,"tcp/50000, 60000",0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.515101044
3.27,global,ROCKWELL COLLINS,17426993152,3.4,0,0.18,2.78,strength-high,Medium,metric-c,general-business,High,4,tcp/20016,-1.72,-13.39,-13.54,-14.09,-14.19,5.41,0.550966023
-12.58,global,FEDEX CORP,56282427392,26.38,0,41.32,-28.69,strength-low,Low,metric-c,general-business,Low,4,tcp/1829,-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09,1.029424828
21.75,global,EXPEDITORS INTL,10272991232,25.62,0,21.42,17.53,strength-medium,Medium,metric-c,general-business,Medium,1,"tcp/9703, tcp/9704",104.2,0.41,-14.87,-57.99,-57.62,11.49,0.626693316
56.03,global,UNITED PARCEL-B,95965921280,-56.03,0,28.59,84.98,strength-medium,High,metric-c,general-business,Medium,3,tcp/2638,99.08,99.08,99.5,99.5,91.09,-37.68,0.601709971
5.94,global,CH ROBINSON,9870654464,6.48,7112,7.89,2.6,strength-high,Medium,metric-c,infrastructure,High,5,"tcp/161, udp/161",-1.11,0.81,1.14,4.07,4.1,3.2,0.603042416
-16.69,global,DELTA AIR LI,38274183168,-28.12,2922,0.41,86.3,strength-low,Medium,metric-c,infrastructure,Low,2,tcp/139,57.14,59.27,41.99,48.41,48.41,-37.68,1.182767044
-5.97,global,AMERICAN AIRLINE,24033409024,-31.28,384,21.42,3.27,strength-medium,Medium,metric-c,infrastructure,Medium,4,"tcp/67, tcp/68, udp/67, udp/68",0.41,-30.75,-31.63,-18.72,-18.97,-18.72,0.515101044
3.27,global,SOUTHWEST AIR,36455112704,3.4,2097,0.18,2.78,strength-medium,Low,metric-c,infrastructure,Medium,1,"tcp/161, udp/161",-1.72,-13.39,-13.54,-14.09,-14.19,5.41,1.198090162
