frequency,region,application,bandwidth,% of regional bandwidth,hd,sessions,% of regional sessions,category,profitability,subcategory,technology,risk,ports
0.044,americas,Flowserve Corporation,21892490,0,0,428,0,ratio-c,metric-a,file-sharing,measure-3,5,"tcp/3468, 6346, 11300"
0.138,americas,WestRock Company,1.58E+12,0,527,262794,0,ratio-e,metric-a,storage-backup,measure-2,3,"tcp/548, udp/548"
0.068,americas,J. B. Hunt Transport Services,9120568542,0,3,803,0,ratio-c,metric-a,file-sharing,measure-3,4,tcp/5190-5199
0.003,americas,Bed Bath & Beyond,45629770262,0,15,13838874,0,ratio-e,metric-a,management,measure-1,1,tcp/402
0.236,americas,Cintas Corporation,2467433,0,0,304,0,ratio-e,metric-a,general-business,measure-2,1,"tcp/5671, 5672"
0.003,americas,CBOE Holdings,1.93E+11,0,64,24448751,0,ratio-c,metric-a,internet-utility,measure-2,1,"tcp/5223, 443"
0.597,americas,Patterson Companies,5.60E+11,0,187,6031,0,ratio-a,metric-a,infrastructure,measure-2,3,"tcp/6050, 445, 139, 111, udp/6050"
0.169,americas,Southwestern Energy,91515135776,0,31,58835539,0.001,ratio-c,metric-a,file-sharing,measure-3,5,"tcp/32285, 6000, 6346-6351, udp/6346-6351"
0.003,americas,Hess Corporation,8.46E+12,0.002,2821,723363,0,ratio-e,metric-a,storage-backup,measure-2,2,"tcp/28001, 28002, 9443, 27000, 29000, 7778, 7779, 8778-8781, 8181, 8444, 8543, 8580"
0.056,americas,Intercontinental Exchange,10906494232,0,4,1534418,0,ratio-e,metric-a,management,measure-4,1,"tcp/47808, udp/47808"
0.002,americas,Robert Half International,977035851,0,0,614,0,ratio-a,metric-a,routing,measure-4,2,"tcp/179, udp/179"
0.001,americas,Interpublic Group,7.49E+11,0,250,15636032,0,ratio-e,metric-a,management,measure-2,1,tcp/1984
0.001,americas,Navient,4.29E+11,0,143,381456,0,ratio-d,metric-a,email,measure-1,4,"tcp/3101, 4101, udp/17600-17800"
0.001,americas,Ryder System,79952126,0,0,129,0,ratio-a,metric-a,infrastructure,measure-1,1,"tcp/3034, tcp/3035"
0.054,americas,Teradata Corp.,1290305356,0,0,34062,0,ratio-e,metric-a,management,measure-4,1,"tcp/19, udp/19"
0.682,americas,Macerich,35235253608,0,12,2374,0,ratio-e,metric-a,management,measure-1,1,tcp/18190
0.004,americas,Whole Foods Market,96269117,0,0,28771,0,ratio-d,metric-a,instant-messaging,measure-1,2,"tcp/5222, 80"
0.225,americas,Under Armour,1.38E+13,0.003,4616,411516,0,ratio-a,metric-a,proxy-tunnels,measure-1,3,"tcp/500, 2512, 4500, 10000, udp/500, 4500, 10000, 62514-62524"
0.014,americas,Hanesbrands Inc,273830849,0,0,45898,0,ratio-d,metric-a,instant-messaging,measure-1,1,"tcp/2041, 2042"
0.036,americas,AES Corp,887296044,0,0,1431862,0,ratio-c,metric-a,file-sharing,measure-3,5,"tcp/18625, udp/41169, udp/41170"
0.861,americas,Helmerich & Payne,468519,0,0,359,0,ratio-e,metric-a,database,measure-1,2,tcp/7210
0.6,americas,News Corp. Class A,263272152,0,0,18893,0,ratio-e,metric-a,software-update,measure-1,1,tcp/3025
0.352,americas,CF Industries Holdings Inc,5034748801,0,2,268340,0,ratio-d,metric-a,voip-video,measure-4,2,"tcp/2428, udp/2427, 2727"
0.023,americas,Range Resources Corp.,33378178904,0,11,2367,0,ratio-b,metric-a,photo-video,measure-1,3,tcp/1755
0.097,americas,Michael Kors Holdings,598196713,0,0,220,0,ratio-a,metric-a,remote-access,measure-1,1,tcp/3389
0.013,americas,Signet Jewelers,127164,0,0,708,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.955,americas,Under Armour,763026601,0,0,63341,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.062,americas,First Solar Inc,1297621,0,0,910,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.005,americas,Iron Mountain Incorporated,9530727,0,0,3,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.125,americas,Lennar Corp.,5388370109,0,2,1984418,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.03,americas,Hologic,49617808,0,0,46026,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.376,americas,Wyndham Worldwide,2554433,0,0,451,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.625,americas,Qorvo,39325920,0,0,22353,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.005,americas,Varian Medical Systems,31537,0,0,14,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.045,americas,FMC Technologies Inc.,9910,0,0,5,0,ratio-e,metric-a,management,measure-4,2,tcp/502
0.656,americas,C. H. Robinson Worldwide,1633728000,0,1,78642,0,ratio-e,metric-a,database,measure-1,2,tcp/27017
0.004,americas,Juniper Networks,83360950790,0,28,6526702,0,ratio-e,metric-a,management,measure-1,1,tcp/1745
0.031,americas,Federal Realty Investment Trust,693505997,0,0,421608,0,ratio-e,metric-a,management,measure-1,1,tcp/1688
0.548,americas,LKQ Corporation,46267889152,0,15,138479,0,ratio-c,metric-a,file-sharing,measure-3,5,"tcp/443, 1863, 1025-65535, udp/1025-65535"
0.345,americas,Torchmark Corp.,279685721,0,0,7009,0,ratio-d,metric-a,instant-messaging,measure-3,3,tcp/1863
0.077,americas,Global Payments Inc,2799770492,0,1,699,0,ratio-c,metric-a,file-sharing,measure-3,2,tcp/6891
