salesgroth,region,application,bandwidth,cogsgroth,hd,sgagroth,grossincomegroth,category,profitability,subcategory,technology,risk,ports,interest,pretax,netincome,EPS,EPSd,EBITDA
5.94,japan,J. B. Hunt Transport Services,6412,6.48,0,7.89,2.6,ratio-d,metric-c,voip-video,measure-3,1,"tcp/3784, udp/43784",-1.11,0.81,1.14,4.07,4.1,3.2
-16.69,japan,Southwestern Energy,547905242,-28.12,0,0.41,86.3,ratio-d,metric-c,voip-video,measure-3,4,tcp/5001,57.14,59.27,41.99,48.41,48.41,-37.68
-5.97,japan,Navient,544993033,-31.28,0,21.42,3.27,ratio-d,metric-c,voip-video,measure-3,2,tcp/5100,0.41,-30.75,-31.63,-18.72,-18.97,-18.72
3.27,global,Ryder System,5.15E+13,3.4,80,0.18,2.78,ratio-d,metric-c,auth-service,measure-1,2,"tcp/389, 3268, 3269, 636, udp/389, 3268",-1.72,-13.39,-13.54,-14.09,-14.19,5.41
-12.58,global,Macerich,48098363514,26.38,16,41.32,-28.69,ratio-e,metric-c,auth-service,measure-3,1,tcp/49,-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09
21.75,global,Under Armour,28668,25.62,0,21.42,17.53,ratio-e,metric-c,auth-service,measure-1,1,tcp/49,104.2,0.41,-14.87,-57.99,-57.62,11.49
56.03,global,AES Corp,80880,-56.03,0,28.59,84.98,ratio-e,metric-c,auth-service,measure-2,1,tcp/2009,99.08,99.08,99.5,99.5,91.09,-37.68
5.94,global,Helmerich & Payne,4.16E+13,6.48,13866,7.89,2.6,ratio-e,metric-c,database,measure-2,4,tcp/3306,-1.11,0.81,1.14,4.07,4.1,3.2
-16.69,global,News Corp. Class A,3.46E+12,-28.12,1153,0.41,86.3,ratio-e,metric-c,database,measure-1,2,tcp/5432,57.14,59.27,41.99,48.41,48.41,-37.68
-5.97,global,CF Industries Holdings Inc,6.55E+12,-31.28,2184,21.42,3.27,ratio-b,metric-c,database,measure-5,1,"tcp/50000, 60000",0.41,-30.75,-31.63,-18.72,-18.97,-18.72
3.27,global,Range Resources Corp.,123098,3.4,0,0.18,2.78,ratio-d,metric-c,general-business,measure-2,1,tcp/20016,-1.72,-13.39,-13.54,-14.09,-14.19,5.41
-12.58,global,Michael Kors Holdings,227456947,26.38,0,41.32,-28.69,ratio-e,metric-c,general-business,measure-1,1,tcp/1829,-67.4,-2431.38,-2440.69,99.5,-1788.23,91.09
21.75,global,Signet Jewelers,36692,25.62,0,21.42,17.53,ratio-e,metric-c,general-business,measure-2,1,"tcp/9703, tcp/9704",104.2,0.41,-14.87,-57.99,-57.62,11.49
56.03,global,Under Armour,148707930,-56.03,0,28.59,84.98,ratio-e,metric-c,general-business,measure-1,1,tcp/2638,99.08,99.08,99.5,99.5,91.09,-37.68
5.94,global,First Solar Inc,2.13E+13,6.48,7112,7.89,2.6,ratio-b,metric-c,infrastructure,measure-1,2,"tcp/161, udp/161",-1.11,0.81,1.14,4.07,4.1,3.2
-16.69,global,Iron Mountain Incorporated,8.77E+12,-28.12,2922,0.41,86.3,ratio-a,metric-c,infrastructure,measure-4,4,tcp/139,57.14,59.27,41.99,48.41,48.41,-37.68
